id,theme_a,theme_b,difficulty,category,reversible
247,Musique pour une plage déserte au petit matin,Musique pour une plage animée à l’heure des vacances,1,Lieux & ambiances,TRUE
248,Musique pour les avenues d’une métropole la nuit,Musique pour les ruelles d’un village endormi,1,Lieux & ambiances,TRUE
249,Musique pour un café tranquille,Musique pour un bar animé,1,Lieux & ambiances,TRUE
250,Musique pour une forêt dense où la lumière passe à peine,Musique pour un sommet de montagne avec une vue immense,1,Lieux & ambiances,TRUE
251,Musique pour une crique abritée où l’eau bouge à peine,Musique pour une falaise battue par les vagues,2,Lieux & ambiances,TRUE
252,Musique pour un hôtel de luxe,Musique pour une petite maison de vacances,2,Lieux & ambiances,TRUE
253,Musique pour une fête sur le pont d’un bateau de pirates,Musique pour un bal dans la salle d’un château,1,Lieux & ambiances,TRUE
254,Musique pour les reflets de pluie sur une avenue la nuit,Musique pour une rue rendue silencieuse par la neige,3,Lieux & ambiances,TRUE
255,Musique pour une oasis au milieu du désert,Musique pour une cabane sur une île tropicale,2,Lieux & ambiances,TRUE
256,Musique pour un bal dans un château ancien,Musique pour une réception dans une villa futuriste,2,Lieux & ambiances,TRUE
257,Musique pour un bar au pied des pistes après le ski,Musique pour un bar de plage après le surf,2,Lieux & ambiances,TRUE
258,Musique pour traverser un quartier désert après minuit,Musique pour traverser un quartier pendant un carnaval,1,Lieux & ambiances,TRUE
259,Musique pour passer une nuit seul dans une chambre d’hôtel,Musique pour retrouver ton lit après un long déplacement,2,Lieux & ambiances,TRUE
260,Musique pour une grande gare,Musique pour un petit arrêt de campagne,2,Lieux & ambiances,TRUE
261,Musique pour un parc plein de pique-niques en été,Musique pour un parc couvert de feuilles mortes en automne,2,Lieux & ambiances,TRUE
262,Musique pour une salle de concert déserte après le spectacle,Musique pour la foule qui attend l’ouverture du rideau,2,Lieux & ambiances,TRUE
263,Musique pour l’entrée d’un défilé de mode,Musique pour l’entrée d’un spectacle de cabaret,1,Lieux & ambiances,TRUE
264,Musique pour un marché couvert plein de vie,Musique pour une galerie marchande presque vide le soir,2,Lieux & ambiances,TRUE
265,Musique pour un restaurant chic,Musique pour un fast-food à minuit,2,Lieux & ambiances,TRUE
266,Musique pour une station-service isolée sur une route américaine,Musique pour une aire de repos animée sur la route des vacances,2,Lieux & ambiances,TRUE
267,Musique pour une cabane isolée,Musique pour un appartement en plein centre-ville,2,Lieux & ambiances,TRUE
268,Musique pour visiter une exposition d’art contemporain,Musique pour assister à une performance d’art contemporain,2,Lieux & ambiances,TRUE
269,Musique pour une projection de cinéma en plein air,Musique pour une projection dans une vieille salle de quartier,2,Lieux & ambiances,TRUE
270,Musique pour flotter seul dans une piscine au lever du jour,Musique pour jouer dans l’eau avec tes amis l’après-midi,1,Lieux & ambiances,TRUE
271,Musique qui te ramène à l’enfance,Musique qui te rappelle ton adolescence,2,Nostalgie,TRUE
272,Musique pour revoir des images de tes bêtises d’enfance,Musique pour revoir des images de ton premier grand amour,2,Nostalgie,TRUE
273,Musique qui sonne années 80,Musique qui sonne années 2000,2,Nostalgie,TRUE
274,Musique pour un film avec une voiture de collection,Musique pour un film avec une voiture venue du futur,1,Nostalgie,TRUE
275,Musique pour faire danser trois générations d’une famille,Musique pour faire danser uniquement une bande d’adolescents,2,Nostalgie,TRUE
276,Musique pour un bal populaire des années 1960,Musique pour une discothèque des années 1980,1,Nostalgie,TRUE
277,Musique pour une fête d’école primaire,Musique pour un bal de fin de lycée,1,Nostalgie,TRUE
278,Musique pour une boum dans une chambre d’adolescent,Musique pour une soirée étudiante dans un appartement trop petit,1,Nostalgie,TRUE
279,Musique pour revoir les souvenirs de tes premières vacances en solo,Musique pour imaginer le voyage que tu n’as jamais osé faire,2,Nostalgie,TRUE
280,Musique pour réécouter un tube oublié des cours de récréation,Musique pour réécouter une chanson transmise par tes grands-parents,2,Nostalgie,TRUE
281,Musique pour imaginer une soirée dans les années 1920,Musique pour imaginer une soirée dans les années 1970,1,Nostalgie,TRUE
282,Musique pour rouvrir une boîte à souvenirs poussiéreuse,Musique pour enterrer une capsule destinée à ton futur toi,2,Nostalgie,TRUE
283,Musique pour un vieux film de science-fiction qui imaginait notre époque,Musique pour un film de science-fiction qui imagine le siècle prochain,2,Nostalgie,TRUE
284,Musique pour visiter l’école de ton enfance aujourd’hui vide,Musique pour retrouver ta cour de récréation dans un rêve,2,Nostalgie,TRUE
285,Musique pour fêter les retrouvailles de ta classe vingt ans après,Musique pour regarder seul la photo de ton ancienne classe,2,Nostalgie,TRUE
286,Musique pour un morceau qui sonne ancien malgré une production moderne,Musique pour un morceau ancien qui semble en avance sur son temps,2,Culture musicale,TRUE
287,Musique pour une fête de village à l’ancienne,Musique pour un festival rétro organisé aujourd’hui,2,Nostalgie,TRUE
288,Musique pour une publicité télévisée des années 1980,Musique pour une publicité contemporaine qui veut paraître futuriste,1,Nostalgie,TRUE
289,Musique pour un souvenir d’été qui te revient avec précision,Musique pour un souvenir d’été qui se mélange à un rêve,3,Nostalgie,TRUE
290,Musique pour retrouver un lieu aimé après dix ans,Musique pour quitter un lieu aimé qui va être démoli,2,Nostalgie,TRUE
291,Musique pour chanter à tue-tête avec le refrain,Musique pour écouter chaque détail au casque les yeux fermés,2,Culture musicale,TRUE
292,Musique pour donner envie d’apprendre la guitare,Musique pour donner envie d’apprendre le piano,1,Culture musicale,TRUE
293,Musique pour une chanson que l’on retient grâce à son refrain,Musique pour une chanson que l’on retient grâce à son riff instrumental,2,Culture musicale,TRUE
294,Musique pour un concert géant,Musique pour un concert intimiste,1,Culture musicale,TRUE
295,Musique pour ouvrir un album comme une promesse,Musique pour fermer un album comme un adieu,3,Culture musicale,TRUE
296,Musique pour faire vibrer les basses d’une enceinte,Musique pour mettre en valeur une voix presque nue,1,Culture musicale,TRUE
297,Musique pour taper des mains en rythme,Musique pour claquer des doigts en rythme,2,Culture musicale,TRUE
298,Musique pour une écoute au coin du feu sur un vieux tourne-disque,Musique pour une écoute nocturne dans une voiture futuriste,1,Culture musicale,TRUE
299,Musique pour danser sur une reprise transformée en morceau de club,Musique pour écouter une reprise transformée en ballade acoustique,1,Culture musicale,TRUE
300,Musique pour remplir une salle avec un refrain puissant,Musique pour captiver une salle avec une voix murmurée,1,Culture musicale,TRUE
301,Musique pour un rappel où le public connaît chaque parole,Musique pour une première partie qui doit conquérir le public,2,Culture musicale,TRUE
302,Musique pour une chanson qui raconte une histoire,Musique pour une chanson qui répète une phrase comme une obsession,2,Culture musicale,TRUE
303,Musique pour une voix douce sur une musique agitée,Musique pour une voix intense sur une musique calme,2,Culture musicale,TRUE
304,Musique pour montrer tes goûts musicaux,Musique que tu écoutes mais que tu n’assumes pas complètement,3,Culture musicale,TRUE
305,Musique pour une chanson joyeuse avec des paroles tristes,Musique pour une chanson triste avec des paroles pleines d’espoir,3,Culture musicale,TRUE
306,Musique pour faire découvrir tes goûts à un nouvel ami,Musique pour faire une déclaration d’amour avec une chanson,2,Culture musicale,TRUE
307,Musique dont les paroles comptent beaucoup,Musique où l’ambiance compte plus que les paroles,2,Culture musicale,TRUE
308,Musique pour une chanson à reprendre autour d’un feu avec une guitare,Musique pour une chanson à reprendre avec une chorale,1,Culture musicale,TRUE
309,Musique pour un morceau qui accroche dès la première seconde,Musique pour un morceau qui construit lentement sa tension,3,Culture musicale,TRUE
310,Musique pour un concert qui mise sur l’énergie brute,Musique pour un disque qui mise sur les détails de production,3,Culture musicale,TRUE
311,Musique pour annoncer « je maîtrise » devant un problème,Musique pour improviser en panique devant un problème imprévu,2,Humour,TRUE
312,Musique pour suivre un ami qui se prend pour un guide d’expédition,Musique pour rebrousser chemin quand ton ami guide d’expédition se perd,2,Humour,TRUE
313,Musique pour traverser un hôtel comme si tu en étais propriétaire,Musique pour chercher discrètement la sortie après t’être trompé d’hôtel,2,Humour,TRUE
314,Musique pour présenter une invention révolutionnaire,Musique pour voir ton invention commencer à fumer,2,Humour,TRUE
315,Musique pour jouer les agents secrets en allant acheter du pain,Musique pour jouer les stars de cinéma en allant acheter du pain,2,Humour,TRUE
316,Musique quand tu entres comme si tu étais le personnage principal,Musique quand tu trébuches juste après ton entrée,1,Humour,TRUE
317,Musique pour faire une petite sieste « de cinq minutes »,Musique pour te réveiller d’une courte sieste à la nuit tombée,2,Humour,TRUE
318,Musique pour danser seul en croyant les rideaux fermés,Musique pour continuer à danser après avoir aperçu les voisins,2,Humour,TRUE
319,Musique pour dérouler ton plan comme un grand stratège,Musique pour improviser un nouveau plan avec trois bouts de ficelle,2,Humour,TRUE
320,Musique pour montrer un tour de magie très solennel,Musique pour détourner l’attention après avoir raté ton tour,2,Humour,TRUE
321,Musique pour raconter une anecdote comme une épopée,Musique pour reconnaître que ton récit épique était juste un trajet en bus,2,Humour,TRUE
322,Musique pour te prendre pour un espion au laser game,Musique pour te prendre pour un général au paintball,2,Humour,TRUE
323,Musique pour annoncer un régime avec une détermination héroïque,Musique pour négocier avec toi-même devant une part de gâteau,2,Humour,TRUE
324,Musique pour traverser un parquet qui grince sur la pointe des pieds,Musique pour prétendre que le parquet qui grince fait partie de ta chorégraphie,1,Humour,TRUE
325,Musique pour arriver à l’heure avec une allure impeccable,Musique pour arriver en retard comme si tu étais attendu sur un tapis rouge,2,Humour,TRUE
326,Musique pour préparer une farce en cachette,Musique pour prendre la fuite quand la victime de ta farce comprend,2,Humour,TRUE
327,Musique pour résister au dernier biscuit sur la table,Musique pour voler le dernier biscuit sur la table quand personne ne regarde,2,Humour,TRUE
328,Musique pour sauver la soirée avec ton idée géniale,Musique pour demander de l’aide quand ton idée met la soirée en danger,2,Humour,TRUE
329,Musique pour gagner un débat imaginaire sous la douche,Musique pour défendre ton opinion avec assurance dans un vrai débat,2,Humour,TRUE
330,Musique pour résoudre un mot croisé comme une enquête criminelle,Musique pour annoncer la solution d’un mot croisé comme une découverte scientifique,2,Humour,TRUE
331,Musique pour franchir la porte automatique comme un roi,Musique pour attendre dignement devant la porte qui ne s’ouvre pas,2,Humour,TRUE
332,Musique pour explorer le frigo comme un chercheur de trésor,Musique pour organiser un festin avec les trois derniers ingrédients du frigo,2,Humour,TRUE
333,Musique pour programmer ton réveil comme un futur champion,Musique pour négocier cinq minutes de plus avec ton réveil,2,Humour,TRUE
334,Musique pour payer l’addition comme un millionnaire,Musique pour partager l’addition au centime près comme un comptable,2,Humour,TRUE
335,Musique pour entrer dans une boutique « juste pour regarder »,Musique pour en ressortir chargé de sacs comme une star,2,Humour,TRUE
336,Musique pour choisir un film comme une décision d’État,Musique pour t’endormir au bout de cinq minutes d’un film choisi avec soin,2,Humour,TRUE
337,Musique pour dresser une assiette comme dans un restaurant étoilé,Musique pour présenter un plat brûlé avec l’assurance d’un grand chef,2,Humour,TRUE
338,Musique pour réparer une fuite comme un héros de film d’action,Musique pour attendre le plombier devant une bassine qui se remplit,2,Humour,TRUE
339,Musique pour chanter le refrain comme une vedette,Musique pour inventer les paroles du couplet sans perdre ton assurance,2,Humour,TRUE
340,Musique pour jouer un solo imaginaire avec un balai,Musique pour diriger un orchestre imaginaire avec une cuillère,1,Humour,TRUE
341,Musique pour gagner seul contre les derniers adversaires d’un jeu vidéo,Musique pour échapper aux adversaires d’un jeu vidéo avec presque plus de vie,2,Gaming,TRUE
342,Musique pour mener ton équipe à la victoire presque à toi seul dans un jeu vidéo,Musique pour tenter de suivre ton équipe dans un jeu vidéo alors que tu débutes,2,Gaming,TRUE
343,Musique pour lancer ta première partie de jeu vidéo avec une confiance totale,Musique pour lancer une revanche dans un jeu vidéo après cinq défaites,2,Gaming,TRUE
344,Musique pour voir l’ennemi principal d’un jeu vidéo devenir encore plus puissant,Musique pour préparer ton équipement avant d’affronter l’ennemi principal d’un jeu vidéo,2,Gaming,TRUE
345,Musique pour découvrir un trésor rare dans un jeu,Musique pour voler un trésor dans un jeu sous le nez d’un autre joueur,2,Gaming,TRUE
346,Musique pour explorer un village accueillant dans un jeu vidéo,Musique pour explorer un village abandonné dans un jeu vidéo,2,Gaming,TRUE
347,Musique pour construire ta maison idéale dans un jeu vidéo,Musique pour protéger ta maison contre une attaque dans un jeu vidéo,2,Gaming,TRUE
348,Musique pour créer un personnage de guerrier majestueux dans un jeu,Musique pour créer un personnage de voleur discret dans un jeu,1,Gaming,TRUE
349,Musique pour une course de jeu vidéo sur un circuit réaliste,Musique pour une course de jeu vidéo remplie de pièges farfelus,1,Gaming,TRUE
350,Musique pour battre enfin l’ennemi principal d’un jeu vidéo après des dizaines d’essais,Musique pour continuer un combat de jeu vidéo avec un seul point de vie,2,Gaming,TRUE
351,Musique pour bluffer à une table de poker,Musique pour révéler la main qui remporte la partie,2,Jeux & défis,TRUE
352,Musique pour calculer ton prochain coup aux échecs,Musique pour jouer contre la montre aux échecs,2,Jeux & défis,TRUE
353,Musique pour chercher des indices dans un jeu d’évasion,Musique pour ouvrir la dernière porte d’un jeu d’évasion juste avant la fin du temps,2,Jeux & défis,TRUE
354,Musique pour un duel de danse amical,Musique pour un duel de danse où la rivalité est sérieuse,2,Jeux & défis,TRUE
355,Musique pour faire tenir la dernière pièce d’une tour en bois,Musique pour observer une tour en bois vaciller après que tu as retiré une pièce,2,Jeux & défis,TRUE
356,Musique pour un repas de famille,Musique pour un repas en tête-à-tête,1,Famille & souvenirs,TRUE
357,Musique pour une berceuse chantée par un parent,Musique pour une chanson que toute la famille reprend en voiture,1,Famille & souvenirs,TRUE
358,Musique pour accueillir un nouveau-né à la maison,Musique pour les premiers pas d’un enfant,2,Famille & souvenirs,TRUE
359,Musique pour accueillir toute la famille pour les vacances,Musique pour la maison redevenue calme après le départ de la famille,2,Famille & souvenirs,TRUE
360,Musique pour regarder les portraits de famille d’autrefois,Musique pour photographier les enfants qui jouent aujourd’hui,2,Famille & souvenirs,TRUE
361,Musique pour retourner dans ta maison d’enfance,Musique pour emménager dans ta propre maison,2,Famille & souvenirs,TRUE
362,Musique pour apprendre à ton enfant à faire du vélo,Musique pour regarder ton enfant partir seul à vélo pour la première fois,2,Famille & souvenirs,TRUE
363,Musique pour un goûter d’anniversaire avec des enfants,Musique pour une fête d’anniversaire où les adultes retombent en enfance,1,Famille & souvenirs,TRUE
364,Musique pour annoncer une bonne nouvelle à ta famille,Musique pour garder une bonne nouvelle secrète jusqu’au repas de famille,2,Famille & souvenirs,TRUE
365,Musique pour un repas de famille où l’on raconte des souvenirs,Musique pour un repas de famille où un vieux conflit refait surface,2,Famille & souvenirs,TRUE
366,Musique qui rappelle les vacances en famille,Musique qui rappelle les premières vacances entre amis,2,Famille & souvenirs,TRUE
367,Musique pour apprendre une recette avec ta grand-mère,Musique pour refaire une recette de ta grand-mère des années plus tard en pensant à elle,3,Famille & souvenirs,TRUE
368,Musique pour regarder un enfant ouvrir ses cadeaux,Musique pour voir un adulte retrouver son jouet d’enfance,1,Famille & souvenirs,TRUE
369,Musique pour un parent qui veille près d’un enfant endormi,Musique pour un enfant qui rêve d’aventures pendant son sommeil,2,Famille & souvenirs,TRUE
370,Musique pour revoir un proche après des années,Musique pour rendre hommage à un proche disparu,2,Famille & souvenirs,TRUE
371,Musique pour le repas de Noël en famille,Musique pour le matin de Noël quand la maison dort encore,2,Famille & souvenirs,TRUE
372,Musique pour préparer un album souvenir pour tes parents,Musique pour préparer une fête surprise pour tes parents,2,Famille & souvenirs,TRUE
373,Musique pour un montage de souvenirs de plusieurs générations,Musique pour un montage des bêtises de ta bande d’amis,2,Famille & souvenirs,TRUE
374,Musique pour entendre tes parents raconter leur jeunesse,Musique pour raconter ta première grande aventure à tes parents,2,Famille & souvenirs,TRUE
375,Musique pour lire une histoire du soir à un enfant,Musique pour inventer une aventure avec un enfant dans le salon,1,Famille & souvenirs,TRUE
376,Musique pour retrouver ton meilleur ami après une longue absence,Musique pour accompagner ton meilleur ami à la gare quand il part vivre loin,2,Amitié,TRUE
377,Musique pour célébrer une amitié qui a traversé les années,Musique pour une nouvelle amitié qui donne envie de tout faire ensemble,2,Amitié,TRUE
378,Musique pour consoler un ami qui a le cœur brisé,Musique pour entraîner dehors un ami au cœur brisé afin de lui changer les idées,2,Amitié,TRUE
379,Musique pour une promesse de rester amis quoi qu’il arrive,Musique pour une amitié qui s’éloigne sans dispute,2,Amitié,TRUE
380,Musique pour la première soirée où toute la bande est enfin réunie,Musique pour lever un verre à l’ami qui n’a pas pu venir,2,Amitié,TRUE
381,Musique pour une soirée entre amis pleine de fous rires,Musique pour une nuit de confidences entre amis,1,Amitié,TRUE
382,Musique pour célébrer la réussite de ton meilleur ami,Musique pour cacher ta jalousie devant la réussite de ton meilleur ami,2,Amitié,TRUE
383,Musique pour un pacte secret entre deux amis,Musique pour une promesse d’amitié faite devant toute la bande,2,Amitié,TRUE
384,Musique pour suivre le conseil raisonnable d’un ami,Musique pour partir ensemble dans une aventure déraisonnable,2,Amitié,TRUE
385,Musique pour une embrouille entre amis,Musique pour une réconciliation entre amis,2,Amitié,TRUE
386,Musique pour monter un projet fou avec ta bande,Musique pour convaincre ta bande de te suivre dans un projet fou,2,Amitié,TRUE
387,Musique pour couvrir les bêtises d’un ami,Musique pour dire enfin ses quatre vérités à un ami,2,Amitié,TRUE
388,Musique pour garder le lien avec un ami à l’autre bout du monde,Musique pour improviser une visite surprise chez un ami qui vit loin,2,Amitié,TRUE
389,Musique pour accueillir un nouvel ami un peu timide,Musique pour célébrer l’ami qui met toujours l’ambiance,2,Amitié,TRUE
390,Musique pour une nuit entière à discuter,Musique pour un silence confortable entre amis,3,Amitié,TRUE
391,Musique pour défendre un ami contre une accusation injuste,Musique pour soutenir un ami qui reconnaît son erreur,2,Amitié,TRUE
392,Musique pour se moquer gentiment d’un ami qui se prend pour une star,Musique pour rendre un hommage sincère à un ami devant la bande,2,Amitié,TRUE
393,Musique pour confier à ton ami ce que personne d’autre ne sait,Musique pour révéler à ton ami une surprise que tu préparais en secret,2,Amitié,TRUE
394,Musique pour un duo d’amis qui se lance dans une aventure,Musique pour une bande d’amis qui se lance dans une aventure,2,Amitié,TRUE
395,Musique pour camper entre amis autour d’un feu,Musique pour monter une expédition entre amis avant l’aube,2,Amitié,TRUE
396,Musique pour marcher seul dans une ville à 2 h du matin,Musique pour marcher en ville quand les commerces ouvrent,2,Jour & nuit,TRUE
397,Musique pour observer la ville depuis un balcon à minuit,Musique pour traverser la ville en taxi à minuit,2,Jour & nuit,TRUE
398,Musique pour le dernier slow avant la fermeture d’un bal,Musique pour la première danse d’un bal en plein air,2,Jour & nuit,TRUE
399,Musique pour marcher en silence dans une maison endormie,Musique pour réveiller la maison en préparant une surprise,2,Jour & nuit,TRUE
400,Musique pour regarder une pluie d’étoiles filantes,Musique pour observer une éclipse de soleil,2,Jour & nuit,TRUE
401,Musique pour un bal qui se prolonge jusqu’au matin,Musique pour une nuit passée à refaire le monde sur un toit,2,Jour & nuit,TRUE
402,Musique pour la dernière promenade avant de quitter une ville,Musique pour ta première promenade dans la ville où tu viens d’emménager,2,Jour & nuit,TRUE
403,Musique pour un quartier de néons après minuit,Musique pour des rues baignées de soleil le matin,2,Jour & nuit,TRUE
404,Musique pour ruminer une conversation à 2 h du matin,Musique pour trouver au réveil le courage de rappeler quelqu’un après une conversation difficile,2,Jour & nuit,TRUE
405,Musique pour veiller au chevet de quelqu’un jusqu’au matin,Musique pour attendre un être aimé qui rentre tard,2,Jour & nuit,TRUE
406,Musique pour une fête clandestine dans un entrepôt la nuit,Musique pour un défilé festif dans la rue en plein jour,1,Jour & nuit,TRUE
407,Musique pour regarder le soleil se lever après une fête,Musique pour regarder le soleil se lever avant une grande épreuve,2,Jour & nuit,TRUE
408,Musique pour traverser une gare avant le premier train,Musique pour traverser une gare juste après le départ du dernier train,2,Jour & nuit,TRUE
409,Musique pour rester dans la pénombre avec tes pensées,Musique pour ouvrir les rideaux et laisser entrer le matin,2,Jour & nuit,TRUE
410,Musique pour une promenade à la pleine lune,Musique pour une promenade à la lueur des lampadaires,2,Jour & nuit,TRUE
411,Musique pour ton premier saut en parachute,Musique pour un vol paisible en parapente au-dessus des montagnes,2,Défis & changements,TRUE
412,Musique pour quitter un confort qui t’ennuie,Musique pour construire ton premier refuge après une période instable,2,Défis & changements,TRUE
413,Musique pour apprendre à dire non,Musique pour oser demander de l’aide,2,Défis & changements,TRUE
414,Musique pour annoncer une décision que tes proches vont contester,Musique pour maintenir une décision malgré le désaccord de tes proches,2,Défis & changements,TRUE
415,Musique pour accepter un pari un peu fou devant tes amis,Musique pour t’entraîner en secret afin de gagner un pari avec tes amis,2,Défis & changements,TRUE
416,Musique pour partir voyager avec un billet aller simple,Musique pour entreprendre un pèlerinage attendu depuis des années,2,Défis & changements,TRUE
417,Musique pour choisir entre deux personnes que tu aimes,Musique pour choisir de rester seul quelque temps,2,Défis & changements,TRUE
418,Musique pour renoncer à un rêve devenu trop lourd,Musique pour reconstruire un rêve après un échec,2,Défis & changements,TRUE
419,Musique pour aller seul à ton premier cours de théâtre,Musique pour jouer enfin devant un public,2,Défis & changements,TRUE
420,Musique pour avouer un mensonge à quelqu’un que tu aimes,Musique pour continuer à mentir en craignant d’être découvert,2,Défis & changements,TRUE
421,Musique pour affronter une foule hostile,Musique pour garder ton calme face à une personne intimidante,2,Défis & changements,TRUE
422,Musique pour calmer ton trac juste avant d’entrer sur scène,Musique pour savourer les applaudissements après ta prestation,2,Défis & changements,TRUE
423,Musique pour lancer une petite entreprise avec tes amis,Musique pour signer seul le contrat qui change ta carrière,2,Défis & changements,TRUE
424,Musique pour tenter un exploit pour la première fois,Musique pour tenter un exploit une dernière fois avant de renoncer,2,Défis & changements,TRUE
425,Musique pour suivre ton intuition malgré les avertissements,Musique pour renoncer à ton intuition afin de protéger quelqu’un,2,Défis & changements,TRUE
426,Musique pour une procession aux flambeaux,Musique pour un défilé de carnaval,1,Fêtes & traditions,TRUE
427,Musique pour un feu d’artifice au-dessus d’une ville,Musique pour un lâcher de lanternes au-dessus d’un lac,1,Fêtes & traditions,TRUE
428,Musique pour un bal masqué dans un palais,Musique pour une fête déguisée dans un appartement,1,Fêtes & traditions,TRUE
429,Musique pour une parade militaire,Musique pour un défilé de supporters après une victoire,1,Fêtes & traditions,TRUE
430,Musique pour un mariage champêtre,Musique pour un mariage dans un grand hôtel,2,Fêtes & traditions,TRUE
431,Musique pour une veillée de contes au coin du feu,Musique pour un spectacle de contes devant un grand public,1,Fêtes & traditions,TRUE
432,Musique pour un enterrement solennel,Musique pour célébrer la vie d’un disparu en musique,2,Fêtes & traditions,TRUE
433,Musique pour une fête des récoltes à la campagne,Musique pour l’inauguration d’un gratte-ciel,2,Fêtes & traditions,TRUE
434,Musique pour l’arrivée d’un souverain à son couronnement,Musique pour le départ d’un souverain qui vient de renoncer au trône,2,Fêtes & traditions,TRUE
435,Musique pour une cérémonie qui célèbre la paix,Musique pour une manifestation qui réclame la paix,2,Fêtes & traditions,TRUE
436,Musique pour un chat qui guette une souris,Musique pour un chien qui court retrouver son maître,1,Nature & animaux,TRUE
437,Musique pour le vol d’un grand aigle,Musique pour le vol d’une nuée d’hirondelles,2,Nature & animaux,TRUE
438,Musique pour une baleine qui traverse l’océan,Musique pour un banc de dauphins qui joue près d’un bateau,2,Nature & animaux,TRUE
439,Musique pour un cheval qui galope librement,Musique pour un cheval qui entre dans une parade,2,Nature & animaux,TRUE
440,Musique pour un loup solitaire au loin,Musique pour une meute qui traverse la forêt,2,Nature & animaux,TRUE
441,Musique pour une rivière qui serpente dans les prés,Musique pour une cascade qui tombe entre les rochers,2,Nature & animaux,TRUE
442,Musique pour un volcan encore endormi,Musique pour une coulée de lave qui avance lentement,2,Nature & animaux,TRUE
443,Musique pour une grotte couverte de cristaux,Musique pour une forêt éclairée par des lucioles,1,Nature & animaux,TRUE
444,Musique pour un jardin soigneusement taillé autour d’un château,Musique pour un jardin abandonné repris par la nature,2,Nature & animaux,TRUE
445,Musique pour marcher sur un lac gelé,Musique pour traverser une dune de sable,2,Nature & animaux,TRUE
446,Musique pour un vampire charmeur qui entre dans un bal,Musique pour un fantôme mélancolique qui hante une salle de bal,2,Portraits & personnages,TRUE
447,Musique pour un cow-boy qui arrive en ville,Musique pour un shérif qui attend un inconnu devant le saloon,2,Portraits & personnages,TRUE
448,Musique pour un pirate qui cherche un trésor,Musique pour un contrebandier qui évite les patrouilles,2,Portraits & personnages,TRUE
449,Musique pour une sorcière qui prépare un philtre d’amour,Musique pour une sorcière qui prépare un sort de vengeance,1,Portraits & personnages,TRUE
450,Musique pour un magicien qui fait apparaître un palais,Musique pour un illusionniste qui fait disparaître un bijou,2,Portraits & personnages,TRUE
451,Musique pour un robot qui découvre les émotions,Musique pour un humain qui essaie de ne plus rien ressentir,3,Portraits & personnages,TRUE
452,Musique pour un astronaute qui découvre une planète,Musique pour un extraterrestre qui découvre notre ville,2,Portraits & personnages,TRUE
453,Musique pour un chevalier fidèle à son serment,Musique pour un mercenaire qui se bat pour sa liberté,2,Portraits & personnages,TRUE
454,Musique pour un souverain aimé de son peuple,Musique pour un souverain craint de son peuple,1,Portraits & personnages,TRUE
455,Musique pour un détective fatigué dans un bureau enfumé,Musique pour un journaliste pressé qui tient une révélation,2,Portraits & personnages,TRUE
456,Musique pour une diva qui entre en scène,Musique pour une chanteuse timide qui ose son premier solo,1,Portraits & personnages,TRUE
457,Musique pour un clown qui veut faire rire,Musique pour un clown triste quand le chapiteau est vide,1,Portraits & personnages,TRUE
458,Musique pour un aristocrate qui cache sa ruine,Musique pour un nouveau riche qui affiche sa fortune,3,Portraits & personnages,TRUE
459,Musique pour un navigateur qui suit les étoiles,Musique pour un explorateur qui suit une carte mystérieuse,2,Portraits & personnages,TRUE
460,Musique pour un savant émerveillé par sa découverte,Musique pour un savant effrayé par les conséquences de sa découverte,2,Portraits & personnages,TRUE
461,Musique pour embrasser quelqu’un à l’abri des regards,Musique pour embrasser quelqu’un devant une foule qui applaudit,2,Scènes de vie,TRUE
462,Musique pour négocier un prix dans un marché,Musique pour enchérir sur un objet dans une vente prestigieuse,2,Scènes de vie,TRUE
463,Musique pour attendre un rendez-vous important dans un hall luxueux,Musique pour monter dans un ascenseur vers un rendez-vous important,2,Scènes de vie,TRUE
464,Musique pour peindre un portrait réaliste,Musique pour peindre un tableau abstrait plein de mouvement,2,Scènes de vie,TRUE
465,Musique pour contempler une œuvre que tu viens d’achever,Musique pour effacer une œuvre que tu viens d’achever et recommencer,2,Scènes de vie,TRUE
466,Musique pour essayer une robe de soirée devant le miroir,Musique pour entrer au bal dans une robe de soirée,2,Scènes de vie,TRUE
467,Musique pour chanter une sérénade sous un balcon,Musique pour écrire un poème d’amour que tu n’oseras pas envoyer,2,Scènes de vie,TRUE
468,Musique pour trinquer à un accord enfin signé,Musique pour négocier les dernières conditions d’un accord important,2,Scènes de vie,TRUE
469,Musique pour se retrouver bloqués ensemble par une tempête,Musique pour décider de sortir ensemble malgré la tempête,2,Scènes de vie,TRUE
470,Musique pour ouvrir les portes d’un petit commerce pour la première fois,Musique pour baisser le rideau de ton commerce après trente ans d’activité,2,Scènes de vie,TRUE
471,Musique pour une basse qui donne envie de se balancer,Musique pour une batterie qui donne envie de bondir,2,Culture musicale,TRUE
472,Musique pour une guitare qui semble pleurer,Musique pour une guitare qui semble provoquer un duel,2,Culture musicale,TRUE
473,Musique pour une voix qui ressemble à une confidence,Musique pour une voix qui ressemble à une prière,3,Culture musicale,TRUE
474,Musique pour un morceau qui donne l’impression de flotter,Musique pour un morceau qui donne l’impression de tourner en rond,2,Culture musicale,TRUE
475,Musique pour une chanson adressée à une seule personne,Musique pour une chanson adressée à toute une génération,2,Culture musicale,TRUE
476,Musique pour un refrain à chanter dans un stade,Musique pour un refrain à chanter au creux de l’oreille,2,Culture musicale,TRUE
